id,destinationTable,participant,sourceTable,statement,submitTime,canBeDisplayed,correct,count,problem
2418,NULL,3674742,NULL,"SELECT * FROM echo where mrrank_rank < 385;","2020-09-29 14:14:37.622000",0,0,0,"Problem 5"
2419,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett GROUP BY CUI;","2020-09-29 14:14:56.135000",0,0,0,"Problem 9"
2421,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett GROUP BY LUI;","2020-09-29 14:15:31.676000",0,0,0,"Problem 9"
2427,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE CUI = LUI;","2020-09-29 14:16:26.184000",0,0,0,"Problem 9"
2430,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett GROUP BY SUI;","2020-09-29 14:17:42.527000",0,0,0,"Problem 9"
2431,NULL,17512399,NULL,foxtrot,"2020-09-29 14:17:45.764000",0,0,0,"Problem 6"
2432,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett GROUP BY CUI;","2020-09-29 14:17:50.835000",0,0,0,"Problem 9"
2434,NULL,12709539,NULL,"SELECT DISTINCT LAT, STT, ISPREF FROM juliett GROUP BY SUI;","2020-09-29 14:18:02.359000",0,0,0,"Problem 9"
2436,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett GROUP BY SUI;","2020-09-29 14:18:06.049000",0,0,0,"Problem 9"
2439,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P';","2020-09-29 14:18:46.357000",0,0,0,"Problem 9"
2440,NULL,3674742,NULL,"SELECT * FROM echo where mrrank_rank < 385 and mrrank_rank != 383 and mrrank_rank != 381 and mrrank_rank != 380;","2020-09-29 14:18:46.626000",0,0,0,"Problem 5"
2441,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P';","2020-09-29 14:18:50.788000",0,0,0,"Problem 9"
2443,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'S';","2020-09-29 14:18:58.793000",0,0,0,"Problem 9"
2444,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P';","2020-09-29 14:19:07.006000",0,0,0,"Problem 9"
2445,NULL,20127165,NULL,"SELECT SVER FROM golf LIMIT 5;","2020-09-29 14:19:08.135000",0,0,0,"Problem 7"
2447,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = N","2020-09-29 14:19:21.620000",0,0,0,"Problem 6"
2448,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = N","2020-09-29 14:19:22.825000",0,0,0,"Problem 6"
2449,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = N","2020-09-29 14:19:22.968000",0,0,0,"Problem 6"
2450,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = N","2020-09-29 14:19:23.409000",0,0,0,"Problem 6"
2453,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P' SORT BY CUI;","2020-09-29 14:19:33.438000",0,0,0,"Problem 9"
2454,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = 'N'","2020-09-29 14:19:34.174000",0,0,0,"Problem 6"
2457,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett SORT BY CUI WHERE TS = 'P';","2020-09-29 14:19:42.423000",0,0,0,"Problem 9"
2458,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:50.887000",0,0,0,"Problem 6"
2459,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:51.571000",0,0,0,"Problem 6"
2460,NULL,3674742,NULL,"SELECT top 12 * FROM echo;","2020-09-29 14:19:52.020000",0,0,0,"Problem 5"
2461,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:52.165000",0,0,0,"Problem 6"
2462,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:52.276000",0,0,0,"Problem 6"
2463,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:52.430000",0,0,0,"Problem 6"
2464,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:52.564000",0,0,0,"Problem 6"
2465,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.suppress = "N"","2020-09-29 14:19:52.715000",0,0,0,"Problem 6"
2467,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P' ORDER BY CUI;","2020-09-29 14:19:56.043000",0,0,0,"Problem 9"
2469,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P' ORDER BY LUI;","2020-09-29 14:20:04.671000",0,0,0,"Problem 9"
2471,NULL,12709539,NULL,"SELECT LAT, STT, ISPREF FROM juliett WHERE TS = 'P' ORDER BY SUI;","2020-09-29 14:20:21.221000",0,0,0,"Problem 9"
2474,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:34.827000",0,0,0,"Problem 6"
2475,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:35.268000",0,0,0,"Problem 6"
2476,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:35.437000",0,0,0,"Problem 6"
2477,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:35.667000",0,0,0,"Problem 6"
2479,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:39.069000",0,0,0,"Problem 6"
2480,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:39.214000",0,0,0,"Problem 6"
2481,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:39.422000",0,0,0,"Problem 6"
2482,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:39.529000",0,0,0,"Problem 6"
2483,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY" OR f.TTY = "PT"","2020-09-29 14:20:39.668000",0,0,0,"Problem 6"
2485,NULL,3674742,NULL,"SELECT * FROM echo limit 12;","2020-09-29 14:20:43.027000",0,0,0,"Problem 5"
2486,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY"","2020-09-29 14:20:48.318000",0,0,0,"Problem 6"
2487,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY"","2020-09-29 14:20:48.855000",0,0,0,"Problem 6"
2488,NULL,17512399,NULL,"SELECT * FROM foxtrot f WHERE f.TTY = "SY"","2020-09-29 14:20:48.941000",0,0,0,"Problem 6"
